  Bratislava;Bratislava
  Borinka;Malacky
  Gajary;Malacky
  Jablonové;Malacky
  Jakubov;Malacky
  Kostolište;Malacky
  Kuchyòa;Malacky
  Láb;Malacky
  Lozorno;Malacky
  Malacky;Malacky
  Malé Leváre;Malacky
  Marianka;Malacky
  Pernek;Malacky
  Plavecké Podhradie;Malacky
  Plavecký Mikuláš;Malacky
  Plavecký Štvrtok;Malacky
  Rohožník;Malacky
  Sološnica;Malacky
  Studienka;Malacky
  Stupava;Malacky
  Suchohrad;Malacky
  Ve¾ké Leváre;Malacky
  Vysoká pri Morave;Malacky
  Záhorie (vojenský obvod);Malacky
  Záhorská Ves;Malacky
  Závod;Malacky
  Zohor;Malacky
  Báhoò;Pezinok
  Budmerice;Pezinok
  Èastá;Pezinok
  Do¾any;Pezinok
  Dubová;Pezinok
  Jablonec;Pezinok
  Limbach;Pezinok
  Modra;Pezinok
  Pezinok;Pezinok
  Píla;Pezinok
  Slovenský Grob;Pezinok
  Svätý Jur;Pezinok
  Šenkvice;Pezinok
  Štefanová;Pezinok
  Vinièné;Pezinok
  Vinosady;Pezinok
  Vištuk;Pezinok
  Bernolákovo;Senec
  Blatné;Senec
  Boldog;Senec
  Èataj;Senec
  Dunajská Lužná;Senec
  Hamuliakovo;Senec
  Hrubá Borša;Senec
  Hrubý Šúr;Senec
  Hurbanova Ves;Senec
  Chorvátsky Grob;Senec
  Igram;Senec
  Ivanka pri Dunaji;Senec
  Kalinkovo;Senec
  Kaplna;Senec
  Kostolná pri Dunaji;Senec
  Krá¾ová pri Senci;Senec
  Malinovo;Senec
  Miloslavov;Senec
  Most pri Bratislave;Senec
  Nová Dedinka;Senec
  Nový Svet;Senec
  Reca;Senec
  Rovinka;Senec
  Senec;Senec
  Tomášov;Senec
  Tureò;Senec
  Ve¾ký Biel;Senec
  Vlky;Senec
  Zálesie;Senec
